,EnsemblTranscriptID,chr,pos,strand
49294,ENST00000555283,chr14,"[(21058882, 21058920), (21077702, 21077954)]",-
49295,ENST00000555308,chr7,"[(96636736, 96636897)]",+
49296,ENST00000555309,chr14,"[(21702352, 21702388), (21731469, 21731495), (21737456, 21737580)]",-
49297,ENST00000555345,chr14,"[(23299103, 23299319), (23299395, 23299463), (23302626, 23302646)]",+
49298,ENST00000555347,chr14,"[(75746895, 75747313)]",+
49299,ENST00000555349,chr14,"[(70234656, 70234704), (70234854, 70234873)]",+
49300,ENST00000555353,chr14,"[(89878820, 89878834), (90085371, 90085493)]",-
49301,ENST00000555360,chr14,"[(105266932, 105267037), (105267517, 105267534)]",+
49302,ENST00000555365,chr14,"[(24909669, 24909698), (24909988, 24910132), (24910879, 24911001), (24911551, 24911658), (24911959, 24911971)]",-
49303,ENST00000555367,chr14,"[(23424363, 23424385), (23426124, 23426335)]",-
49304,ENST00000555373,chr14,"[(69864950, 69865016)]",-
49305,ENST00000555393,chr14,"[(24843328, 24843672), (24844865, 24844921), (24845180, 24845307), (24845499, 24845579)]",+
49306,ENST00000555394,chr14,"[(73822459, 73822474), (73833604, 73833689), (73876644, 73876776), (73925198, 73925286)]",-
49307,ENST00000555404,chr14,"[(58878663, 58878689), (58893771, 58893905)]",-
49308,ENST00000555414,chr14,"[(20923349, 20923497), (20923736, 20923804)]",+
49309,ENST00000555423,chr14,"[(50778868, 50778944)]",-
49310,ENST00000555427,chr16,"[(89979825, 89981548), (89984283, 89984455), (89985258, 89985666)]",+
49311,ENST00000555431,chr14,"[(67817401, 67817407), (67826374, 67826504)]",-
49312,ENST00000555436,chr14,"[(24900091, 24900160)]",-
49313,ENST00000555437,chr14,"[(77564468, 77564704), (77571999, 77572051)]",+
49314,ENST00000555441,chr14,"[(92583981, 92583986), (92587539, 92587748)]",-
49315,ENST00000555445,chr14,"[(73706332, 73706486)]",+
49316,ENST00000555447,chr14,"[(81864726, 81864924), (81893445, 81893556), (81893644, 81893748)]",-
49317,ENST00000555449,chr14,"[(37641555, 37641628)]",-
49318,ENST00000555452,chr14,"[(68282680, 68282763), (68283250, 68283304)]",-
49319,ENST00000555453,chr14,"[(24838372, 24838518)]",+
49320,ENST00000555458,chr14,"[(105239629, 105239651)]",-
49321,ENST00000555462,chr14,"[(91975991, 91976822)]",-
49322,ENST00000555463,chr14,"[(75535994, 75536186)]",-
49323,ENST00000555472,chr14,"[(52327359, 52327508), (52344334, 52344375), (52379726, 52379846), (52417367, 52417396)]",+
49324,ENST00000555474,chr14,"[(67826415, 67826520)]",-
49325,ENST00000555495,chr14,"[(93460231, 93460342), (93483020, 93483146), (93581413, 93581624)]",-
49326,ENST00000555504,chr14,"[(75988902, 75989025)]",+
49327,ENST00000555517,chr14,"[(77924379, 77924532)]",+
49328,ENST00000555523,chr14,"[(94547627, 94547795), (94563232, 94563283)]",+
49329,ENST00000555525,chr14,"[(93762397, 93762504)]",-
49330,ENST00000555528,chr14,"[(105258980, 105259059), (105259463, 105260037)]",-
49331,ENST00000555531,chr11,"[(14541845, 14541890)]",-
49332,ENST00000555536,chr14,"[(23299257, 23299319), (23299395, 23299463), (23300172, 23300246), (23302626, 23302646)]",+
49333,ENST00000555557,chr14,"[(35452230, 35452421), (35465882, 35465993), (35470141, 35470163)]",+
49334,ENST00000555567,chr14,"[(75421945, 75422487)]",-
49335,ENST00000555570,chr14,"[(96858469, 96858491)]",+
49336,ENST00000555571,chr14,"[(72399333, 72399658), (72431488, 72431508)]",+
49337,ENST00000555572,chr17,"[(49230996, 49231023), (49231585, 49231734)]",+
49338,ENST00000555573,chr14,"[(56127991, 56128225)]",+
49339,ENST00000555576,chr16,"[(89989752, 89989809)]",+
49340,ENST00000555577,chr10,"[(99344130, 99344460)]",+
49341,ENST00000555590,chr14,"[(24836465, 24836547)]",+
49342,ENST00000555593,chr14,"[(58878663, 58878689), (58894109, 58894223)]",-
49343,ENST00000555597,chr14,"[(21156940, 21157033), (21167513, 21167530)]",+
49344,ENST00000555610,chr14,"[(50778868, 50778872)]",-
49345,ENST00000555611,chr14,"[(77564624, 77564704), (77571999, 77572051)]",+
49346,ENST00000555619,chr14,"[(74959977, 74960215)]",-
49347,ENST00000555633,chr19,"[(3771740, 3772008), (3772160, 3772233)]",-
49348,ENST00000555644,chr14,"[(35591165, 35591519)]",-
49349,ENST00000555647,chr14,"[(75388244, 75388264), (75389043, 75389188), (75389882, 75390005)]",-
49350,ENST00000555656,chr14,"[(20916930, 20916970), (20917060, 20919038)]",-
49351,ENST00000555661,chr14,"[(74318548, 74318646), (74325518, 74325565)]",+
49352,ENST00000555664,chr14,"[(93896682, 93897375)]",+
49353,ENST00000555667,chr14,"[(65569057, 65569235)]",-
49354,ENST00000555673,chr7,"[(99063764, 99063787)]",-
49355,ENST00000555674,chr14,"[(105212392, 105212583)]",+
49356,ENST00000555685,chr20,"[(44175996, 44176040)]",-
49357,ENST00000555686,chr14,"[(75746345, 75746780)]",+
49358,ENST00000555694,chr14,"[(75530256, 75530264), (75530674, 75530730)]",-
49359,ENST00000555696,chr15,"[(93173495, 93173575), (93196365, 93196440)]",-
49360,ENST00000555698,chr14,"[(21270107, 21270155), (21270955, 21271007)]",-
49361,ENST00000555699,chr14,"[(93199131, 93199160), (93214833, 93214957)]",-
49362,ENST00000555702,chr14,"[(23282607, 23282649), (23284528, 23284660), (23288846, 23289020)]",-
49363,ENST00000555711,chr12,"[(25348194, 25348271), (25356853, 25356896)]",+
49364,ENST00000555728,chr12,"[(56101466, 56101495)]",-
49365,ENST00000555731,chr14,"[(23846271, 23846460)]",+
49366,ENST00000555738,chr14,"[(73822459, 73822474), (73833604, 73833628)]",-
49367,ENST00000555744,chr14,"[(94577160, 94577324), (94578004, 94578028)]",+
49368,ENST00000555748,chr15,"[(93173495, 93173575), (93198360, 93198634)]",-
49369,ENST00000555750,chr14,"[(80677815, 80677843)]",-
49370,ENST00000555755,chr14,"[(89029381, 89029477)]",+
49371,ENST00000555760,chr4,"[(57522166, 57522178), (57522505, 57522688)]",-
49372,ENST00000555761,chr14,"[(78227470, 78227499)]",-
49373,ENST00000555764,chr14,"[(35761656, 35761806), (35777199, 35777294), (35778119, 35778185)]",+
49374,ENST00000555765,chr14,"[(35182719, 35182767), (35183640, 35183761)]",-
49375,ENST00000555802,chr14,"[(24843328, 24843672), (24844865, 24844921), (24845180, 24845307), (24845499, 24845579)]",+
49376,ENST00000555805,chr12,"[(57145944, 57146102), (57157001, 57157198), (57167617, 57167636)]",+
49377,ENST00000555818,chr14,"[(71996041, 71996087), (72054287, 72054589)]",+
49378,ENST00000555822,chr14,"[(99983430, 99983520), (99988469, 99988577), (99988904, 99989282)]",-
49379,ENST00000555824,chr14,"[(82000088, 82000177)]",-
49380,ENST00000555827,chr2,"[(238969631, 238969695)]",+
49381,ENST00000555835,chr14,"[(21152258, 21152917), (21167513, 21167530)]",+
49382,ENST00000555836,chr14,"[(104095573, 104095831), (104120900, 104120901)]",+
49383,ENST00000555841,chr14,"[(21052633, 21052655), (21055721, 21055784), (21056127, 21056149)]",-
49384,ENST00000555846,chr14,"[(55493965, 55494189), (55498580, 55498709), (55509669, 55509759)]",+
49385,ENST00000555868,chr14,"[(61747865, 61748558)]",-
49386,ENST00000555872,chr14,"[(90420701, 90420901)]",-
49387,ENST00000555880,chr14,"[(90429448, 90429458)]",+
49388,ENST00000555883,chr14,"[(21702352, 21702388), (21737456, 21737559)]",-
49389,ENST00000555899,chr14,"[(64006403, 64006410), (64009496, 64010016)]",-
49390,ENST00000555900,chr14,"[(89060758, 89061070)]",+
49391,ENST00000555914,chr14,"[(21702352, 21702388), (21731469, 21731495), (21737456, 21737563)]",-
49392,ENST00000555925,chr14,"[(67708139, 67708250), (67736417, 67736500), (67745966, 67745989)]",+
49393,ENST00000555927,chr14,"[(100759333, 100759369), (100759630, 100759714), (100761962, 100761993), (100762156, 100762198)]",-
49394,ENST00000555932,chr14,"[(65569057, 65569188)]",-
49395,ENST00000555938,chr19,"[(19627035, 19627047)]",+
49396,ENST00000555943,chr14,"[(21852086, 21852140)]",-
49397,ENST00000555948,chr1,"[(201386921, 201386940), (201390800, 201390854), (201391146, 201391149)]",-
49398,ENST00000555978,chr19,"[(3771740, 3771749), (3772160, 3772209)]",-
49399,ENST00000555986,chr14,"[(23424363, 23424385), (23425954, 23426346)]",-
49400,ENST00000555993,chr14,"[(71275888, 71276251)]",-
49401,ENST00000555997,chr14,"[(69257904, 69257960)]",-
49402,ENST00000556005,chr14,"[(90420701, 90420867)]",-
49403,ENST00000556007,chr14,"[(58878663, 58878689), (58890725, 58890813), (58893771, 58893832)]",-
49404,ENST00000556010,chr12,"[(66563731, 66563765)]",-
49405,ENST00000556015,chr14,"[(24025479, 24025552), (24025951, 24025966)]",+
49406,ENST00000556018,chr14,"[(92280113, 92280169), (92302714, 92302870)]",-
49407,ENST00000556029,chr12,"[(98909289, 98909645)]",+
49408,ENST00000556036,chr14,"[(45605142, 45605234)]",+
49409,ENST00000556045,chr14,"[(95571447, 95571583), (95572014, 95572120), (95572377, 95572418)]",-
49410,ENST00000556046,chr14,"[(67663490, 67663601), (67663987, 67664074), (67664852, 67664878)]",+
49411,ENST00000556047,chr14,"[(78227316, 78227385)]",+
49412,ENST00000556051,chr14,"[(101193366, 101193405)]",+
49413,ENST00000556085,chr10,"[(102505976, 102506017)]",+
49414,ENST00000556087,chr15,"[(93616226, 93616260), (93616947, 93617357)]",-
49415,ENST00000556095,chr14,"[(96829893, 96831603), (96846024, 96846125), (96848583, 96848584)]",+
49416,ENST00000556102,chr14,"[(54863720, 54863786)]",+
49417,ENST00000556107,chr9,"[(114393665, 114393687)]",+
49418,ENST00000556113,chr14,"[(54908045, 54908058)]",-
49419,ENST00000556126,chr17,"[(73642322, 73642451), (73642734, 73642866), (73643450, 73643456)]",+
49420,ENST00000556131,chr12,"[(25398318, 25398329), (25403697, 25403863)]",-
49421,ENST00000556132,chr6,"[(127837759, 127837847), (127839723, 127840500)]",-
49422,ENST00000556134,chr14,"[(58894119, 58894355), (58894989, 58895027)]",+
49423,ENST00000556135,chr14,"[(59655416, 59655486), (59730158, 59730195)]",+
49424,ENST00000556142,chr14,"[(21702352, 21702388), (21737456, 21737582)]",-
49425,ENST00000556143,chr14,"[(73491216, 73491650), (73493633, 73493920)]",-
49426,ENST00000556147,chr14,"[(21491474, 21491480), (21492188, 21493123)]",-
49427,ENST00000556148,chr14,"[(39736614, 39736726), (39746137, 39746159), (39748540, 39748562), (39748652, 39748675)]",+
49428,ENST00000556154,chr14,"[(92413086, 92413418)]",-
49429,ENST00000556155,chr12,"[(57502061, 57502082), (57522755, 57522883)]",-
49430,ENST00000556161,chr14,"[(35182719, 35182767), (35183401, 35183442)]",-
49431,ENST00000556169,chr14,"[(24838358, 24838518)]",+
49432,ENST00000556177,chr14,"[(76873880, 76873939), (76905683, 76905696)]",+
49433,ENST00000556208,chr14,"[(21026699, 21026809), (21027740, 21027792), (21029032, 21029090)]",-
49434,ENST00000556222,chr14,"[(94393604, 94393800), (94394544, 94394631)]",+
49435,ENST00000556242,chr14,"[(74454805, 74454875), (74477793, 74477853), (74482526, 74482633), (74485952, 74486013)]",-
49436,ENST00000556253,chr14,"[(104029323, 104029338)]",+
49437,ENST00000556257,chr14,"[(75516358, 75516421), (75518117, 75518160)]",-
49438,ENST00000556260,chr14,"[(102228206, 102228230)]",+
49439,ENST00000556278,chr9,"[(34646641, 34646701)]",+
49440,ENST00000556279,chr14,"[(24836673, 24836792)]",+
49441,ENST00000556285,chr14,"[(76447236, 76447336)]",-
49442,ENST00000556336,chr14,"[(21756097, 21756135)]",+
49443,ENST00000556345,chr14,"[(67708139, 67708250), (67736417, 67736500), (67745734, 67745887)]",+
49444,ENST00000556351,chr12,"[(25348205, 25348271), (25356658, 25356766), (25356853, 25356896)]",+
49445,ENST00000556376,chr4,"[(57522166, 57522178), (57542664, 57542732), (57547420, 57547460)]",-
49446,ENST00000556381,chr14,"[(94547701, 94547795), (94563232, 94563311), (94563837, 94563999)]",+
49447,ENST00000556387,chr14,"[(24682645, 24682679)]",-
49448,ENST00000556402,chr12,"[(25348210, 25348271), (25356853, 25356896)]",+
49449,ENST00000556412,chr14,"[(77923738, 77923908)]",-
49450,ENST00000556414,chr18,"[(32398355, 32398611), (32400754, 32400832)]",+
49451,ENST00000556437,chr14,"[(72399948, 72400019), (72431488, 72431508)]",+
49452,ENST00000556440,chr17,"[(62502705, 62503215)]",+
49453,ENST00000556441,chr14,"[(95659694, 95659752), (95660185, 95660256), (95660551, 95660637)]",-
49454,ENST00000556443,chr14,"[(65569057, 65569235)]",-
49455,ENST00000556450,chr14,"[(96180403, 96180435)]",-
49456,ENST00000556451,chr14,"[(37667232, 37667309), (37681434, 37681561), (37688757, 37688896), (37716307, 37716445), (37717033, 37717112), (37736155, 37736216)]",+
49457,ENST00000556468,chr19,"[(10217043, 10217070)]",+
49458,ENST00000556492,chr14,"[(57857270, 57857423), (57857674, 57857675)]",+
49459,ENST00000556505,chr14,"[(100759333, 100759369), (100759630, 100759714), (100761962, 100762071)]",-
49460,ENST00000556506,chr14,"[(35761678, 35761682)]",+
49461,ENST00000556508,chr14,"[(105331616, 105331850), (105342592, 105342682), (105344221, 105344236)]",+
49462,ENST00000556513,chr14,"[(21702352, 21702388), (21731469, 21731495), (21731825, 21731988), (21737456, 21737584)]",-
49463,ENST00000556526,chr14,"[(21058882, 21058982)]",-
49464,ENST00000556529,chr12,"[(117013655, 117013747)]",+
49465,ENST00000556530,chr14,"[(39644433, 39644483)]",+
49466,ENST00000556551,chr14,"[(74318673, 74318819), (74325518, 74325565)]",+
49467,ENST00000556553,chr14,"[(88851267, 88851405), (88851741, 88852162)]",+
49468,ENST00000556564,chr14,"[(89016761, 89016963), (89020994, 89021077)]",-
49469,ENST00000556569,chr14,"[(62037313, 62037415)]",+
49470,ENST00000556573,chr14,"[(105071078, 105071320)]",-
49471,ENST00000556580,chr14,"[(23945374, 23945616), (23946408, 23946427)]",+
49472,ENST00000556581,chr6,"[(31674639, 31674683)]",+
49473,ENST00000556585,chr14,"[(21569261, 21569343), (21569466, 21569502)]",+
49474,ENST00000556601,chr2,"[(27805912, 27806009), (27820933, 27821112)]",+
49475,ENST00000556603,chr14,"[(93581508, 93581529), (93582116, 93582216)]",-
49476,ENST00000556605,chr14,"[(69865406, 69866086)]",+
49477,ENST00000556609,chr14,"[(90420276, 90420345), (90421076, 90421121)]",-
49478,ENST00000556611,chr14,"[(32546172, 32546259), (32559707, 32559875)]",+
49479,ENST00000556614,chr4,"[(57522166, 57522178), (57522509, 57522691)]",-
49480,ENST00000556618,chr15,"[(91499025, 91499113), (91499930, 91499964)]",+
49481,ENST00000556621,chr14,"[(24674933, 24675010), (24675714, 24675717)]",+
49482,ENST00000556623,chr14,"[(105212329, 105212471), (105212572, 105212583)]",+
49483,ENST00000556625,chr4,"[(191005266, 191005383)]",+
49484,ENST00000556626,chr14,"[(65289812, 65289863), (65346509, 65346601)]",-
49485,ENST00000556627,chr14,"[(77787380, 77787511)]",+
49486,ENST00000556628,chr14,"[(21702352, 21702388), (21731469, 21731495), (21737456, 21737569)]",-
49487,ENST00000556645,chr14,"[(100828234, 100828258), (100841619, 100841687), (100841847, 100842588)]",-
49488,ENST00000556658,chr15,"[(93595540, 93595737), (93609060, 93609488), (93616144, 93616260), (93616812, 93616892)]",-
49489,ENST00000556663,chr14,"[(76619988, 76620706)]",+
49490,ENST00000556667,chr14,"[(37641092, 37641590)]",+
49491,ENST00000556670,chr14,"[(21458145, 21458161)]",+
49492,ENST00000556672,chr14,"[(50319471, 50319539)]",-
49493,ENST00000556679,chr6,"[(31895474, 31895529)]",+
49494,ENST00000556690,chr14,"[(75078647, 75078775)]",-
49495,ENST00000556696,chr14,"[(57196990, 57197253)]",-
49496,ENST00000556710,chr1,"[(160251981, 160251990), (160252733, 160252899), (160254844, 160254920)]",-
49497,ENST00000556717,chr14,"[(62114137, 62114279), (62117679, 62117691)]",+
49498,ENST00000556727,chr14,"[(94594974, 94595012), (94595598, 94595628), (94596430, 94596590)]",-
49499,ENST00000556732,chr12,"[(57630868, 57630875)]",-
49500,ENST00000556740,chr14,"[(75516358, 75516394)]",-
49501,ENST00000556742,chr14,"[(76452126, 76452129)]",+
49502,ENST00000556751,chr14,"[(101011387, 101011403), (101012837, 101016226)]",-
49503,ENST00000556752,chr14,"[(52344309, 52344375), (52417367, 52417396)]",+
49504,ENST00000556759,chr14,"[(24842020, 24842412)]",+
49505,ENST00000556760,chr14,"[(52456332, 52456357)]",+
49506,ENST00000556766,chr14,"[(52327363, 52327508), (52344334, 52344375), (52417367, 52417396)]",+
49507,ENST00000556772,chr14,"[(73759459, 73759582), (73763918, 73766083)]",-
49508,ENST00000556797,chr14,"[(74359991, 74360625)]",+
49509,ENST00000556807,chr14,"[(102606229, 102606260)]",+
49510,ENST00000556816,chr14,"[(74960422, 74960477)]",+
49511,ENST00000556821,chr14,"[(23790751, 23791422)]",+
49512,ENST00000556826,chr14,"[(58332543, 58332780)]",-
49513,ENST00000556834,chr14,"[(52384166, 52384194), (52385266, 52385289)]",-
49514,ENST00000556840,chr14,"[(23299129, 23299157), (23299258, 23299319), (23299395, 23299463), (23302626, 23302646)]",+
49515,ENST00000556842,chr14,"[(24899140, 24899197), (24899919, 24899936)]",+
49516,ENST00000556847,chr14,"[(69589045, 69589077), (69619205, 69619326)]",-
49517,ENST00000556856,chr14,"[(76088434, 76088508)]",+
49518,ENST00000556859,chr14,"[(59100785, 59100903), (59107453, 59107586), (59108309, 59108465), (59112086, 59112184)]",+
49519,ENST00000556865,chr15,"[(93015150, 93015378)]",+
49520,ENST00000556881,chr14,"[(94964734, 94964767), (94970369, 94970559)]",-
49521,ENST00000556883,chr14,"[(93650587, 93650707), (93650903, 93651268)]",-
49522,ENST00000556885,chr12,"[(25348198, 25348271), (25356853, 25356896)]",+
49523,ENST00000556893,chr14,"[(76211472, 76211542)]",+
49524,ENST00000556897,chr14,"[(21702352, 21702388), (21730759, 21730836)]",-
49525,ENST00000556922,chr16,"[(89985572, 89985666)]",+
49526,ENST00000556927,chr12,"[(25348205, 25348271), (25356658, 25356757), (25356853, 25356896)]",+
49527,ENST00000556931,chr1,"[(155036223, 155036299)]",+
49528,ENST00000556935,chr14,"[(20876598, 20876622), (20881563, 20881579)]",-
49529,ENST00000556945,chr14,"[(89029353, 89029477)]",+
49530,ENST00000556946,chr14,"[(102276171, 102276279)]",+
49531,ENST00000556949,chr14,"[(32476107, 32476112)]",+
49532,ENST00000556973,chr14,"[(102196773, 102196791)]",+
49533,ENST00000556977,chr14,"[(76127566, 76127730), (76129397, 76129492)]",+
49534,ENST00000556979,chr14,"[(65569057, 65569235)]",-
49535,ENST00000556985,chr14,"[(59951254, 59951307)]",+
49536,ENST00000556994,chr14,"[(35451162, 35451208), (35452103, 35452421), (35465882, 35465915)]",+
49537,ENST00000557000,chr14,"[(94393730, 94393972), (94394544, 94394631)]",+
49538,ENST00000557004,chr14,"[(95027427, 95027831), (95029802, 95029819)]",+
49539,ENST00000557006,chr14,"[(67940640, 67940658), (67953716, 67953889), (67970203, 67970268), (67982161, 67982188)]",-
49540,ENST00000557008,chr14,"[(23776175, 23776488), (23776968, 23776976)]",+
49541,ENST00000557010,chr14,"[(80677815, 80677868), (80682314, 80682493), (80697243, 80697397)]",-
49542,ENST00000557011,chr14,"[(78227316, 78227385)]",+
49543,ENST00000557016,chr14,"[(69864950, 69865344)]",-
49544,ENST00000557021,chr20,"[(48770174, 48770335)]",-
49545,ENST00000557038,chr14,"[(39734512, 39734625), (39746137, 39746269), (39748652, 39748675)]",+
49546,ENST00000557040,chr14,"[(104384341, 104384461), (104387806, 104387831)]",-
49547,ENST00000557052,chr14,"[(100789678, 100789779), (100792124, 100792168), (100792432, 100792565), (100793524, 100793707), (100795062, 100795173)]",+
49548,ENST00000557053,chr14,"[(77787420, 77787526), (77793180, 77793248), (77793814, 77793844)]",+
49549,ENST00000557054,chr14,"[(20923405, 20923553), (20923736, 20923804)]",+
49550,ENST00000557066,chr14,"[(94547741, 94547795), (94561095, 94561245), (94563201, 94563283)]",+
49551,ENST00000557068,chr14,"[(21025228, 21026809), (21027740, 21027792), (21028495, 21028530), (21029032, 21029090)]",-
49552,ENST00000557095,chr14,"[(102276241, 102276279)]",+
49553,ENST00000557098,chr14,"[(94577079, 94577143), (94581196, 94581226), (94582126, 94582140)]",+
49554,ENST00000557112,chr14,"[(45366537, 45366771), (45369637, 45369638)]",+
49555,ENST00000557119,chr4,"[(111543616, 111544207)]",-
49556,ENST00000557126,chr1,"[(6845550, 6845590)]",+
49557,ENST00000557135,chr14,"[(100835522, 100835595), (100840472, 100840602), (100841619, 100841684)]",-
49558,ENST00000557140,chr14,"[(35873850, 35873952)]",-
49559,ENST00000557154,chr14,"[(70233840, 70233972), (70234854, 70234873)]",+
49560,ENST00000557164,chr14,"[(65878591, 65878711), (65922338, 65922436), (66082695, 66082811), (66082928, 66083091), (66096209, 66096216)]",+
49561,ENST00000557179,chr14,"[(77270330, 77270778)]",-
49562,ENST00000557185,chr14,"[(60632027, 60632211)]",-
49563,ENST00000557201,chr14,"[(21702352, 21702388), (21737456, 21737584)]",-
49564,ENST00000557207,chr14,"[(76618272, 76618334), (76618878, 76618974)]",+
49565,ENST00000557209,chr14,"[(21026774, 21026809), (21027740, 21027792), (21029032, 21029090)]",-
49566,ENST00000557218,chr14,"[(94547727, 94547795), (94563232, 94563283)]",+
49567,ENST00000557220,chr14,"[(25078819, 25078873)]",-
49568,ENST00000557221,chr14,"[(23299122, 23299319), (23299395, 23299457)]",+
49569,ENST00000557235,chr12,"[(56750355, 56750362), (56753841, 56753910)]",-
49570,ENST00000557247,chr14,"[(50234885, 50235186)]",+
49571,ENST00000557258,chr14,"[(89878820, 89878834), (89883214, 89883456)]",-
49572,ENST00000557259,chr12,"[(56321176, 56321397)]",-
49573,ENST00000557263,chr14,"[(76618264, 76618318), (76620696, 76620706)]",+
49574,ENST00000557272,chr14,"[(32798605, 32798614), (32902665, 32902699)]",+
49575,ENST00000557275,chr14,"[(95942158, 95942173)]",-
49576,ENST00000557277,chr14,"[(65544651, 65544754), (65560425, 65560533), (65568263, 65568290), (65569226, 65569408)]",-
49577,ENST00000557280,chr14,"[(39565322, 39565343), (39572235, 39572437)]",-
49578,ENST00000557284,chr1,"[(74663918, 74663923)]",+
49579,ENST00000557296,chr14,"[(98218219, 98218312), (98230268, 98230326)]",-
49580,ENST00000557301,chr15,"[(93616985, 93617092)]",-
49581,ENST00000557320,chr14,"[(96968737, 96968929)]",+
49582,ENST00000557325,chr14,"[(74454805, 74454875), (74474398, 74474515), (74477793, 74477853), (74482526, 74482631)]",-
49583,ENST00000557334,chr12,"[(25398318, 25398329), (25403684, 25403870)]",-
49584,ENST00000557342,chr14,"[(78174413, 78174454)]",+
49585,ENST00000557354,chr14,"[(32798549, 32798614), (32902665, 32902699)]",+
49586,ENST00000557364,chr14,"[(21899802, 21900017), (21924190, 21924239)]",-
49587,ENST00000557376,chr14,"[(52292917, 52292948), (52294385, 52294504)]",+
49588,ENST00000557381,chr15,"[(93443418, 93444054), (93444396, 93444467)]",+
49589,ENST00000557385,chrX,"[(119384609, 119384832), (119386523, 119386625), (119387268, 119387270)]",+
49590,ENST00000557386,chr14,"[(69619695, 69619720)]",-
49591,ENST00000557389,chr14,"[(35872961, 35873346)]",-
49592,ENST00000557395,chr10,"[(102289608, 102289638)]",-
49593,ENST00000557413,chr14,"[(75388244, 75388264), (75388680, 75389188), (75389882, 75390099)]",-
49594,ENST00000557420,chr15,"[(93616226, 93616374)]",-
49595,ENST00000557431,chr14,"[(78174445, 78174454)]",+
49596,ENST00000557434,chr14,"[(93199131, 93199160), (93214833, 93214990)]",-
49597,ENST00000557436,chr14,"[(52781022, 52781219), (52781952, 52782031)]",+
49598,ENST00000557450,chr14,"[(104095577, 104095831), (104120900, 104120901)]",+
49599,ENST00000557451,chr14,"[(24838358, 24838814)]",+
49600,ENST00000557457,chr14,"[(105406781, 105406896), (105407210, 105407315), (105420217, 105420241)]",-
49601,ENST00000557471,chr14,"[(96968777, 96968929)]",+
49602,ENST00000557479,chr1,"[(93645919, 93646087)]",+
49603,ENST00000557487,chr12,"[(57623493, 57623561)]",+
49604,ENST00000557508,chr14,"[(58711621, 58711659), (58718836, 58718957)]",+
49605,ENST00000557510,chr14,"[(74959977, 74960050)]",-
49606,ENST00000557515,chr14,"[(23540356, 23540774)]",-
49607,ENST00000557527,chr14,"[(87372121, 87372393), (87379819, 87379866)]",+
49608,ENST00000557538,chr14,"[(62164339, 62164672), (62187096, 62187241)]",+
49609,ENST00000557540,chr12,"[(25348149, 25348275), (25356853, 25356896)]",+
49610,ENST00000557556,chr14,"[(74004097, 74004125)]",+
49611,ENST00000557565,chr14,"[(35591754, 35591841), (35592157, 35592451)]",+
49612,ENST00000557574,chr14,"[(93651337, 93651377), (93652604, 93652620)]",+
49613,ENST00000557575,chr14,"[(104095573, 104095831), (104120900, 104120901)]",+
49614,ENST00000557588,chr14,"[(74769615, 74769690)]",-
49615,ENST00000557594,chr14,"[(79745681, 79746634)]",+
49616,ENST00000557595,chr14,"[(23025533, 23025736), (23025863, 23025866)]",+
49617,ENST00000557597,chr14,"[(73822459, 73822474), (73833604, 73833689), (73876644, 73876776), (73925198, 73925228)]",-
49618,ENST00000557607,chr14,"[(89029357, 89029513), (89029994, 89030037), (89037427, 89037468), (89038373, 89038569), (89038921, 89038955)]",+
49619,ENST00000557623,chr14,"[(78174445, 78174454)]",+
49620,ENST00000557634,chr14,"[(94577107, 94577143), (94577970, 94578028)]",+
49621,ENST00000557636,chr14,"[(76127610, 76127730), (76129397, 76129492)]",+
49622,ENST00000557639,chr14,"[(77787362, 77787526), (77793180, 77793248), (77793814, 77793844)]",+
49623,ENST00000557640,chr14,"[(104408032, 104408039), (104408428, 104408645)]",-
49624,ENST00000557644,chr12,"[(97301243, 97301389)]",+
49625,ENST00000557646,chr14,"[(94405900, 94405948), (94407547, 94407621), (94407908, 94407973)]",+
49626,ENST00000557649,chr14,"[(105046020, 105046340), (105052751, 105052767)]",+
49627,ENST00000557658,chr14,"[(77923837, 77923983)]",-
49628,ENST00000557690,chr14,"[(54908045, 54908109)]",-
49629,ENST00000557702,chr14,"[(23791230, 23791422)]",+
49630,ENST00000557714,chr14,"[(102276205, 102276279)]",+
49631,ENST00000557719,chr14,"[(94385239, 94385340), (94394544, 94394631)]",+
49632,ENST00000557742,chr15,"[(94899202, 94899530), (94901775, 94901776)]",+
49633,ENST00000557746,chr14,"[(65569057, 65569235)]",-
49634,ENST00000557752,chr14,"[(77564653, 77564704), (77571999, 77572051)]",+
49635,ENST00000557762,chr14,"[(92980147, 92980276)]",+
49636,ENST00000557767,chr14,"[(24843328, 24843672), (24844865, 24844921), (24845180, 24845307), (24845499, 24845579)]",+
49637,ENST00000557769,chr14,"[(99983430, 99983520), (99988469, 99988577), (99988714, 99988900)]",-
49638,ENST00000557771,chr14,"[(21756097, 21756135)]",+
49639,ENST00000557785,chr15,"[(100106184, 100106309), (100138634, 100138716), (100173182, 100173324)]",+
49640,ENST00000557796,chr15,"[(37390373, 37390400), (37391101, 37391507)]",-
49641,ENST00000557807,chr15,"[(67814032, 67814525)]",+
49642,ENST00000557816,chr20,"[(39833556, 39833706), (39867327, 39867436), (39883227, 39883275), (39897629, 39897723), (39928605, 39928727)]",-
49643,ENST00000557821,chr15,"[(40599873, 40600038)]",-
49644,ENST00000557832,chr15,"[(47426224, 47426320)]",-
49645,ENST00000557835,chr15,"[(64385967, 64385994)]",-
